CD Code,County,District,Street,City,Zip,State,DOC,DOCType,StatusType
0110017,Alameda,Alameda County Office of Education,313 West Winton Avenue,Hayward,94544-1136,CA,00,County Office of Education (COE),Active
0131609,Alameda,California School for the Blind (State Special Schl),500 Walnut Avenue,Fremont,94536-4365,CA,31,State Special Schools,Active
0131617,Alameda,California School for the Deaf-Fremont (State Special Schl),39350 Gallaudet Drive,Fremont,94538-2308,CA,31,State Special Schools,Active
0161119,Alameda,Alameda Unified,2060 Challenger Dr,Alameda,94501-1037,CA,54,Unified School District,Active
0161127,Alameda,Albany City Unified,1216 Solano Avenue,Albany,94706-1725,CA,54,Unified School District,Active
0161143,Alameda,Berkeley Unified,2020 Bonar Street,Berkeley,94702-1793,CA,54,Unified School District,Active
0161150,Alameda,Castro Valley Unified,4400 Alma Avenue,Castro Valley,94546-0146,CA,54,Unified School District,Active
0161168,Alameda,Emery Unified,4727 San Pablo Avenue,Emeryville,94608-3035,CA,54,Unified School District,Active
0161176,Alameda,Fremont Unified,4210 Technology Drive,Fremont,94538-6337,CA,54,Unified School District,Active
0161192,Alameda,Hayward Unified,24411 Amador Street,Hayward,94544-1301,CA,54,Unified School District,Active
0161200,Alameda,Livermore Valley Joint Unified,685 East Jack London Boulevard,Livermore,94551-1899,CA,54,Unified School District,Active
0161218,Alameda,Mountain House Elementary,3950 Mountain House Road,Byron,94514-1920,CA,52,Elementary School District,Active
0161234,Alameda,Newark Unified,5715 Musick Avenue,Newark,94560-0385,CA,54,Unified School District,Active
0161242,Alameda,New Haven Unified,34200 Alvarado-Niles Road,Union City,94587-4402,CA,54,Unified School District,Active
0161259,Alameda,Oakland Unified,1011 Union St,Oakland,94607-4099,CA,54,Unified School District,Active
0161275,Alameda,Piedmont City Unified,760 Magnolia Avenue,Piedmont,94611-4047,CA,54,Unified School District,Active
0161291,Alameda,San Leandro Unified,2600 Teagarden Street,San Leandro,94577-3767,CA,54,Unified School District,Active
0161309,Alameda,San Lorenzo Unified,15510 Usher Street,San Lorenzo,94580-1641,CA,54,Unified School District,Active
0174005,Alameda,Tri-Valley ROP,1040 Florence Road,Livermore,94550-5543,CA,98,Regional Occupation Center/Program (ROC/P),Active
0174013,Alameda,Eden Area ROP,26316 Hesperian Boulevard,Hayward,94545,CA,98,Regional Occupation Center/Program (ROC/P),Active
0174021,Alameda,Mission Valley ROC/P,5019 Stevenson Boulevard,Fremont,94538,CA,98,Regional Occupation Center/Program (ROC/P),Active
0175093,Alameda,Dublin Unified,7471 Larkdale Avenue,Dublin,94568-1500,CA,54,Unified School District,Active
0175101,Alameda,Pleasanton Unified,5758 W Las Positas Boulevard,Pleasanton,94588-4083,CA,54,Unified School District,Active
0175119,Alameda,Sunol Glen Unified,11601 Main Street,Sunol,94586-9519,CA,54,Unified School District,Active
0177180,Alameda,SBE - Latitude 37.8 High,1045 Derby Avenue,Oakland,94601-2212,CA,02,State Board of Education,Active
0210025,Alpine,Alpine County Office of Education,43 Hawkside Drive,Markleeville,96120-9522,CA,00,County Office of Education (COE),Active
0261333,Alpine,Alpine County Unified,43 Hawkside Drive,Markleeville,96120-9522,CA,54,Unified School District,Active
0310033,Amador,Amador County Office of Education,217 Rex Avenue,Jackson,95642-2020,CA,00,County Office of Education (COE),Active
0373981,Amador,Amador County Unified,217 Rex Avenue,Jackson,95642-2020,CA,54,Unified School District,Active
0374856,Amador,Amador County ROP,217 Rex Avenue,Jackson,95642,CA,98,Regional Occupation Center/Program (ROC/P),Active
0410041,Butte,Butte County Office of Education,1859 Bird Street,Oroville,95965-4854,CA,00,County Office of Education (COE),Active
0461382,Butte,Bangor Union Elementary,7549 Oro-Bangor Highway,Bangor,95914-0340,CA,52,Elementary School District,Active
0461408,Butte,Biggs Unified,300 B Street,Biggs,95917-9732,CA,54,Unified School District,Active
